iter	Accuracy	Logloss
158	0.8454528074	0.3739448995
159	0.8454528074	0.3736183441
160	0.8454528074	0.3732171539
161	0.8442845831	0.3728671159
162	0.8442845831	0.3724306119
163	0.8445769808	0.3719793462
164	0.8442845831	0.3715501914
165	0.8442845831	0.3712809777
166	0.8445769808	0.370980786
167	0.8445769808	0.3708339852
168	0.8445769808	0.3706378107
169	0.8448693785	0.3704261149
170	0.8445769808	0.3700232678
171	0.8457452051	0.3699077033
172	0.8457452051	0.3696094263
173	0.8454528074	0.3692202127
174	0.8457452051	0.3687307028
175	0.8457452051	0.3682842223
176	0.8457452051	0.367996919
177	0.8457452051	0.3679166599
178	0.8457452051	0.3676825252
179	0.8457452051	0.367381768
180	0.8457452051	0.3671832388
181	0.8457452051	0.3669099063
182	0.8460376027	0.366595727
183	0.8460376027	0.3662528902
184	0.8460376027	0.3659341858
185	0.8460376027	0.3656370375
186	0.8460376027	0.3654696543
187	0.8460376027	0.3651497401
188	0.8460376027	0.3649999178
189	0.8457452051	0.364709362
190	0.8460376027	0.3644091757
191	0.8463300004	0.3643223347
192	0.8460376027	0.3639801493
193	0.8460376027	0.3637679988
194	0.8460376027	0.3635050957
195	0.8460376027	0.3631514491
196	0.8463300004	0.3628367807
197	0.8460376027	0.3625385719
198	0.8460376027	0.3621443739
199	0.847205827	0.3618822357
200	0.8469134294	0.3617274863
201	0.8469134294	0.3616991216
202	0.847205827	0.3613684794
203	0.8483740513	0.3609439461
204	0.8483740513	0.3607164988
205	0.8483740513	0.3605914018
206	0.8483740513	0.3603636897
207	0.847789256	0.3600569485
208	0.8480816536	0.3599469463
209	0.8480816536	0.3596079826
210	0.8480816536	0.3594846875
211	0.8480816536	0.359236929
212	0.8480816536	0.3589819214
213	0.8480816536	0.3589792114
214	0.847789256	0.3586222139
215	0.847789256	0.3583160551
216	0.8480816536	0.3580751284
217	0.8480816536	0.3579594858
218	0.8480816536	0.3577530876
219	0.8480816536	0.3575156048
220	0.847789256	0.3572737767
221	0.8480816536	0.3570509466
222	0.8480816536	0.3567783404
223	0.8489574803	0.3563869546
224	0.8492498779	0.3562079135
225	0.8495422756	0.3559204416
226	0.8492498779	0.3555742923
227	0.8489574803	0.3551885734
